n_samples,n_features,wall_s,cpu_s,ram_change_gib,peak_gpu_gib,gpu_info,iter
1000,250,124.18887567520142,124.44000000000004,0.0020599365234375,0.0826430320739746,"GPU 0: util=17.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",1
1000,500,127.69834542274477,127.96000000000004,0.0003623962402343,0.1225218772888183,"GPU 0: util=22.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",1
1000,750,125.31977534294128,125.67999999999984,0.000274658203125,0.1627459526062011,"GPU 0: util=22.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",1
1000,1000,126.6352608203888,127.01000000000022,0.0040092468261718,0.2021102905273437,"GPU 0: util=28.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",1
50,50,57.020055055618286,56.53999999999997,-0.047149658203125,0.0354928970336914,"GPU 0: util=25.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
50,100,56.96624660491944,56.48000000000002,0.0,0.0336313247680664,"GPU 0: util=26.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
50,250,57.372713565826416,57.26999999999998,0.0,0.0446009635925293,"GPU 0: util=23.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
50,500,58.20378613471985,58.07000000000016,0.0,0.0615572929382324,"GPU 0: util=25.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
50,750,58.356337547302246,58.34000000000015,0.004180908203125,0.0803613662719726,"GPU 0: util=24.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
50,1000,58.50440335273743,58.51000000000022,0.0057106018066406,0.0960588455200195,"GPU 0: util=29.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
100,50,59.70643854141235,59.21000000000004,0.0,0.0364394187927246,"GPU 0: util=24.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
